rms_id,category,title,verdict,flags,imgW,imgH,frameCoverage,solvedScale,unclampedScale,url
2970,seating,"ADELAIDE ANTIQUE ARM CHAIR",BROKEN,MEASURE_FAIL|LOW_RES,201,286,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/chair-lounge/ADELAIDE%20Chair%200.png
2996,tables,"ACELIN LIGHT SIDE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,73,230,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/side-tables/ACELIN%20Table.png
2994,tables,"ABIGALE DARK SIDE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,74,231,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/side-tables/ABIGALE%20Table%200.png
2861,tables,"AARON MATTE BLACK PLANK COFFEE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,373,145,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/coffeetables/AARON%20Coffee%20Table%200.png
2491,tableware,"ADONIS GLASSWARE",BROKEN,MEASURE_FAIL|LOW_RES,366,273,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tablewear/glassware/ADONIS%20Set.png
4018,styling,"AGATHA RUSTIC MINI VASES",BROKEN,MEASURE_FAIL|LOW_RES,191,111,0.986,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/AGATHA%20Rustic%20Large.png
4015,styling,"AHSTA 31\" CREAM TERRACOTTA VASE",BROKEN,MEASURE_FAIL|LOW_RES,158,280,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/AHSTA%2031%20Vase.png
590,serveware,"ALEXANDER DECANTER",BROKEN,MEASURE_FAIL|LOW_RES,114,245,0.991,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/serveware/ALEXANDER%20Decanter%200.png
3479,tableware,"AKOYA",BROKEN,MEASURE_FAIL|LOW_RES,393,285,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tablewear/dinnerware/AKOYA%20Set.png
3709,seating,"ALORA BOTANICAL SCULPTURAL CHAIR",BROKEN,MEASURE_FAIL|LOW_RES,275,263,0.996,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/chair-lounge/ALORA%20Botanical%20Chair%200.png
3443,tableware,"ALLIRA CUT GLASSWARE",BROKEN,MEASURE_FAIL|LOW_RES,297,286,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tablewear/glassware/ALLIRA%20Set.png
3064,styling,"MELTING DISCO BALL",BROKEN,MEASURE_FAIL|LOW_RES,208,159,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/ADELE%20Melting%20Disco.png
2650,pillows-throws,"ALPACA LINEAR GREY/BLACK THROW",AT_RISK,LOW_RES,400,300,0.420,0.750,0.712,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/throws/ALPACA%20Linear.png
3211,seating,"ALISTAIR GREEN LEATHER BENCH",BROKEN,MEASURE_FAIL|LOW_RES,364,124,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/bench/ALISTAIR%20Bench%200.png
3468,candlelight,"ALABASTER VOTIVE",BROKEN,MEASURE_FAIL|LOW_RES,126,152,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/candlelight/ALABASTER%204.5.png
2647,pillows-throws,"ALPACA SNAKE THROW",AT_RISK,LOW_RES,400,300,0.363,0.766,0.766,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/throws/ALPACA%20Snake%20Oatmeal.png
2690,tableware,"ALTA MATTE SILVER FLATWARE",BROKEN,MEASURE_FAIL|LOW_RES,184,287,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tablewear/flatware/ALTA%20Set.PNG
2648,pillows-throws,"ALPACA SUN OATMEAL/BLACK THROW",AT_RISK,LOW_RES,400,300,0.416,0.750,0.715,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/throws/ALPACA%20Sun.png
3484,tableware,"ALUMINA",BROKEN,MEASURE_FAIL|LOW_RES,389,255,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tablewear/dinnerware/ALUMINA%20Set.png
2613,candlelight,"AMALIA SMOKE CUT GLASS VOTIVE",BROKEN,MEASURE_FAIL|LOW_RES,234,241,0.996,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/candlelight/AMALIA%20Votive%201.png
live-amitola-led-corner-light,lighting,"AMITOLA LED CORNER LIGHT",BROKEN,MEASURE_FAIL|LOW_RES,27,272,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/lighting/special/AMITOLA%20Led%20Corner%20Light.png
2649,pillows-throws,"ALPACA ONO GREY/BLACK THROW",BROKEN,LOW_RES|CLAMP_MASSIVE,274,274,0.644,0.750,0.622,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/throws/ALPACA%20Ono.png
3523,serveware,"ALVINA GREY MARBLE TRAY",BROKEN,LOW_RES|CLAMP_MASSIVE,366,366,0.389,0.750,0.610,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/serveware/ALVINA%20Marble%20Tray.png
MANUAL-6e8d3074,seating,"AMANITA BAR STOOL",BROKEN,MEASURE_FAIL|LOW_RES,185,254,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/inventory/MANUAL-6e8d3074/8391db18c97293e4.png
MANUAL-c800807d,tables,"AMBROSE MAHOGANY KINGS DINING TABLE",AT_RISK,LOW_RES,800,600,0.472,0.886,0.886,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/inventory/MANUAL-c800807d/9095af3d0a8ec715.png
