rms_id,title,category,status_class,current_hero_url,current_hero_path,current_in_storage,current_dupe_count,proposed_hero_url,proposed_source,proposed_confidence
2922,Salvatore Marble Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/SALVATORE Coffee Table 0.png,TABLES/SALVATORE Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/SALVATORE Coffee Table 0.png,keep_current,n/a
2816,Arcus Bevin 12' Slatted Bar,bars,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/ARCUS - BEVIN 1.png,BARS/ARCUS - BEVIN 1.png,false,2,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/ARCUS - BEVIN 1.png,keep_current,n/a
2814,Arcus Levar 12' Black Tambour Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/ARCUS - LEVAR 1.png,BARS/ARCUS - LEVAR 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/ARCUS - LEVAR 1.png,keep_current,n/a
3054,Arcus Ryann 12' White Tambour Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/ARCUS - RYANN 1.png,BARS/ARCUS - RYANN 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/ARCUS - RYANN 1.png,keep_current,n/a
360,Scout Wood Community Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/SCOUT Community Table 0.png,TABLES/SCOUT Community Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/SCOUT Community Table 0.png,keep_current,n/a
3146,Amisa Midnight Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/AMISA Blue Bar 1.png,BARS/AMISA Blue Bar 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/AMISA Blue Bar 1.png,keep_current,n/a
2540,Arcus Tavion 12' Natural Tambour Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/ARCUS - TAVION 1.png,BARS/ARCUS - TAVION 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/ARCUS - TAVION 1.png,keep_current,n/a
786,Barclay Concrete & Split Wood Tasting Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/BARCLAY (Everly Top).png,BARS/BARCLAY (Everly Top).png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/BARCLAY (Everly Top).png,keep_current,n/a
4086,Boone Barrel Stave Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/BOONE Barrel Bar 1.png,BARS/BOONE Barrel Bar 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/BOONE Barrel Bar 1.png,keep_current,n/a
1019,Boyce Concrete & Birch Double Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/BOYCE Bar 1.png,BARS/BOYCE Bar 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/BOYCE Bar 1.png,keep_current,n/a
174,Durango Cedar & Concrete Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/DURANGO Bar (Everly Top) 0.png,BARS/DURANGO Bar (Everly Top) 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/DURANGO Bar (Everly Top) 0.png,keep_current,n/a
3009,Evangeline Silver Folding Bar Cart,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/EVANGELINE Bar Cart 0.png,BARS/EVANGELINE Bar Cart 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/EVANGELINE Bar Cart 0.png,keep_current,n/a
1926,Hampton Oak Wood Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/HAMPTON Bar 0.png,BARS/HAMPTON Bar 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/HAMPTON Bar 0.png,keep_current,n/a
3353,Inola Single Black Bar,bars,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/INOLA Single 1.png,BARS/INOLA Single 1.png,false,2,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/INOLA Single 1.png,keep_current,n/a
3503,Inola Single Black Bar With Gold Mirror Panels,bars,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/INOLA Single 1.png,BARS/INOLA Single 1.png,false,2,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/INOLA Single 1.png,keep_current,n/a
3504,Inola U Black  Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/INOLA U.png,BARS/INOLA U.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/INOLA U.png,keep_current,n/a
3675,Iraja Double Weathered Oak Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/IRAJA Double Bar 1.png,BARS/IRAJA Double Bar 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/IRAJA Double Bar 1.png,keep_current,n/a
2757,Iraja Square Weathered Oak Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/IRAJA Bar.png,BARS/IRAJA Bar.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/IRAJA Bar.png,keep_current,n/a
2661,Jepperd Black Tambour Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/JEPPERD (Everly Top).png,BARS/JEPPERD (Everly Top).png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/JEPPERD (Everly Top).png,keep_current,n/a
2150,Malcolm Bar Cart,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/MALCOLM Bar Cart 0.png,BARS/MALCOLM Bar Cart 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/MALCOLM Bar Cart 0.png,keep_current,n/a
3008,Marceline Brass Folding Bar Cart,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/MARCELINE Bar Cart 0.png,BARS/MARCELINE Bar Cart 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/MARCELINE Bar Cart 0.png,keep_current,n/a
894,Slade Concrete & Wood Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/SLADE Coffee Table 0.png,TABLES/SLADE Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/SLADE Coffee Table 0.png,keep_current,n/a
188,Norwood Concrete & Split Wood Top Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/NORWOOD Bar 1.png,BARS/NORWOOD Bar 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/NORWOOD Bar 1.png,keep_current,n/a
788,Pickford Concrete & Split Wood Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/PICKFORD Bar (Everly Top).png,BARS/PICKFORD Bar (Everly Top).png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/PICKFORD Bar (Everly Top).png,keep_current,n/a
3316,Silverton 6' Disco Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/SILVERTON Bar.png,BARS/SILVERTON Bar.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/SILVERTON Bar.png,keep_current,n/a
4068,Sinatra - Walnut Fluted Bar - Triple (24'),bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/SINATRA Walnut Astaire - Triple 24'.png,BARS/SINATRA Walnut Astaire - Triple 24'.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/SINATRA Walnut Astaire - Triple 24'.png,keep_current,n/a
2966,Voyage Navy Trunk Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/VOYAGE Navy Bar Trunk 1.png,BARS/VOYAGE Navy Bar Trunk 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/VOYAGE Navy Bar Trunk 1.png,keep_current,n/a
1354,Walden Concrete & Birch Bar,bars,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/WALDEN Bar 1.png,BARS/WALDEN Bar 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/BARS/WALDEN Bar 1.png,keep_current,n/a
3467,"Alabaster 4.25"" Votive",candlelight,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/ALABASTER Small.png,CANDLELIGHT/ALABASTER Small.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/ALABASTER Small.png,keep_current,n/a
3468,"Alabaster 5"" Votive",candlelight,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/ALABASTER Large.png,CANDLELIGHT/ALABASTER Large.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/ALABASTER Large.png,keep_current,n/a
4030,Ennai Concrete Oil Lamp,candlelight,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/ENNAI Oil Lamp.png,CANDLELIGHT/ENNAI Oil Lamp.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/ENNAI Oil Lamp.png,keep_current,n/a
2734,"Florence 25"" Weathered Zinc Lantern",candlelight,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/FLORENCE Lantern Set.png,CANDLELIGHT/FLORENCE Lantern Set.png,false,3,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/FLORENCE Lantern Set.png,keep_current,n/a
3081,Kinlee Cocoon Large,candlelight,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/KINLEE Large.png,CANDLELIGHT/KINLEE Large.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/KINLEE Large.png,keep_current,n/a
3078,Kinlee Cocoon Petite,candlelight,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/KINLEE Petite.png,CANDLELIGHT/KINLEE Petite.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/KINLEE Petite.png,keep_current,n/a
3079,Kinlee Cocoon Small,candlelight,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/KINLEE Small.png,CANDLELIGHT/KINLEE Small.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/KINLEE Small.png,keep_current,n/a
727,"Layla 28"" Lantern",candlelight,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/LAYLA 28in Lantern.png,CANDLELIGHT/LAYLA 28in Lantern.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/CANDLELIGHT/LAYLA 28in Lantern.png,keep_current,n/a
