id,url,category_slug,product_slug,title,product_title_original,product_title_normalized,is_custom_order_co,description,dimensions,stocked_quantity,material_notes,color_notes,size_notes,generic_notes,add_to_cart_present,quantity_selector_present,variant_selector_present,previous_product_url,next_product_url,related_product_urls,breadcrumb,repaired_by_llm,extraction_method,final_confidence,missing_fields,ambiguity_flags,warnings,needs_manual_review
0a3baf9b-4908-425f-94ec-074d16d0b2f0,https://www.eclectichive.com/accents1/Adagio-Disco-Ball,accents1,Adagio-Disco-Ball,Adagio Disco Ball,Adagio Disco Ball — Event Design & Decor | Eclectic Hive,Adagio Disco Ball,false,,,,,,"Select Size20""18""12""6""",,true,true,,,,https://www.eclectichive.com/accents1/keaton-antique-floor-mirror;https://www.eclectichive.com/accents1/Leblond-Decanter,,false,markdown,0.85,,prev_next_unparsed,,false
31936914-5e9c-4568-a4e1-0472869ef78b,https://www.eclectichive.com/accents1/Alexander-Decanter,accents1,Alexander-Decanter,Alexander Decanter,Alexander Decanter — Event Design & Decor | Eclectic Hive,Alexander Decanter,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/Leblond-Decanter;https://www.eclectichive.com/accents1/Wells-Decanter,,false,markdown,0.85,,prev_next_unparsed,,false
f7ff2633-292b-48b4-9d3d-d81629af6740,https://www.eclectichive.com/accents1/benjamin-tan-vintage-suitcase,accents1,benjamin-tan-vintage-suitcase,Benjamin Tan Vintage Suitcase,Benjamin Tan Vintage Suitcase  — Event Design & Decor | Eclectic Hive,Benjamin Tan Vintage Suitcase,false,Stocked Quantity: 1,,1,,,,,true,true,,,,https://www.eclectichive.com/accents1/Desktop-Magnifying-Glass;https://www.eclectichive.com/accents1/Found-Creamery-Crate,,false,markdown,0.9,,prev_next_unparsed,,false
706562ca-a02b-428b-891d-ecc5f5c9445f,https://www.eclectichive.com/accents1/Broadway-Concrete-Urn,accents1,Broadway-Concrete-Urn,Broadway Concrete Urn,Broadway Concrete Urn — Event Design & Decor | Eclectic Hive,Broadway Concrete Urn,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/single-broadway-concrete-urn-column;https://www.eclectichive.com/accents1/hartford-ceramic-vase-collection,,false,markdown,0.85,,prev_next_unparsed,,false
28efc317-b59a-494b-b8d1-daed874ac697,https://www.eclectichive.com/accents1/bruno-black-fireplace,accents1,bruno-black-fireplace,Brody Black Indoor Fireplace,Brody Black Indoor Fireplace — Event Design & Decor | Eclectic Hive,Brody Black Indoor Fireplace,false,"Stocked Quantity: 2  32""W x 14""D x 6""H (without glass)","32""W x 14""D x 6""H",2,,,,,true,true,,,,https://www.eclectichive.com/accents1/Grenfell-Bent-Vintage-Metal-Arrow;https://www.eclectichive.com/accents1/cornhole-set,,false,markdown,1,,prev_next_unparsed,,false
71d62361-2850-4943-9333-7db15d341ac2,https://www.eclectichive.com/accents1/Buddha-Bust,accents1,Buddha-Bust,Buddha Bust,Buddha Bust — Event Design & Decor | Eclectic Hive,Buddha Bust,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/hartford-ceramic-vase-collection;https://www.eclectichive.com/accents1/Desktop-Magnifying-Glass,,false,markdown,0.85,,prev_next_unparsed,,false
0c3258c7-0a7b-45eb-b1f4-01c81181621c,https://www.eclectichive.com/accents1/cameron-gold-lantern-pair,accents1,cameron-gold-lantern-pair,Cameron Gold Lantern Pair,Cameron Gold Lantern Pair — Event Design & Decor | Eclectic Hive,Cameron Gold Lantern Pair,false,Stocked Quantity: 12,,12,,,,,true,true,,,,https://www.eclectichive.com/accents1/layla-lantern-set;https://www.eclectichive.com/accents1/Kelden-Black-Iron-Lantern,,false,markdown,0.9,,prev_next_unparsed,,false
bb4886eb-c7c2-481e-a431-2dba72960ad2,https://www.eclectichive.com/accents1/cornhole-set,accents1,cornhole-set,Cornhole Set,Cornhole Set — Event Design & Decor | Eclectic Hive,Cornhole Set,false,,,,,,,,true,,,,,https://www.eclectichive.com/accents1/bruno-black-fireplace;https://www.eclectichive.com/accents1/faux-potted-cactus,,false,markdown,0.85,,prev_next_unparsed,,false
d54ea9ad-f3c7-4a58-9995-62891606b8ac,https://www.eclectichive.com/accents1/Desktop-Magnifying-Glass,accents1,Desktop-Magnifying-Glass,Desktop Magnifying Glass,Desktop Magnifying Glass — Event Design & Decor | Eclectic Hive,Desktop Magnifying Glass,false,Stocked Quantity: 1,,1,,,,,true,true,,,,https://www.eclectichive.com/accents1/Buddha-Bust;https://www.eclectichive.com/accents1/benjamin-tan-vintage-suitcase,,false,markdown,0.9,,prev_next_unparsed,,false
defbaa77-a4ab-4c22-8b02-bfbb16ccbf6f,https://www.eclectichive.com/accents1/Dual-Pane-Chalkboard,accents1,Dual-Pane-Chalkboard,Dual Pane Chalkboard,Dual Pane Chalkboard — Event Design & Decor | Eclectic Hive,Dual Pane Chalkboard,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/Madden-Longhorn-Skull;https://www.eclectichive.com/accents1/Rope-Stanchion,,false,markdown,0.85,,prev_next_unparsed,,false
3f5228f1-e794-47d7-8d47-07d77648355f,https://www.eclectichive.com/accents1/Eagan-Decanter,accents1,Eagan-Decanter,Eagan Decanter,Eagan Decanter — Event Design & Decor | Eclectic Hive,Eagan Decanter,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/Wells-Decanter;https://www.eclectichive.com/accents1/elliot-lantern-duo,,false,markdown,0.85,,prev_next_unparsed,,false
093e196a-b124-462a-8162-925b299fc5b8,https://www.eclectichive.com/accents1/edenvale-gold-candleabra,accents1,edenvale-gold-candleabra,Edenvale Gold Candleabra,Edenvale Gold Candleabra — Event Design & Decor | Eclectic Hive,Edenvale Gold Candleabra,false,Quantity: 4,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/edith-wood-candlestick-collection;https://www.eclectichive.com/accents1/small-gold-geo-terrarium,,false,markdown,0.85,,prev_next_unparsed,,false
319d8526-66c3-460b-9053-c41620ddfae5,https://www.eclectichive.com/accents1/edith-wood-candlestick-collection,accents1,edith-wood-candlestick-collection,Edith Wood Candlestick Collection,Edith Wood Candlestick Collection — Event Design & Decor | Eclectic Hive,Edith Wood Candlestick Collection,false,,,,,,,,true,,,,,https://www.eclectichive.com/accents1/faro-pedestal-votive-collection;https://www.eclectichive.com/accents1/edenvale-gold-candleabra,,false,markdown,0.85,,prev_next_unparsed,,false
b53a42ef-3627-4c4e-acf6-6e1f314f091f,https://www.eclectichive.com/accents1/elliot-lantern-duo,accents1,elliot-lantern-duo,Elliot Lantern Duo,Elliot Lantern Duo — Event Design & Decor | Eclectic Hive,Elliot Lantern Duo,false,Stocked Quantity: 2,,2,,,,,true,true,,,,https://www.eclectichive.com/accents1/Eagan-Decanter;https://www.eclectichive.com/accents1/layla-lantern-set,,false,markdown,0.9,,prev_next_unparsed,,false
cbcdedad-5ccd-45e7-abbf-c7d9cede27cf,https://www.eclectichive.com/accents1/fairy-cloche,accents1,fairy-cloche,Fairy Cloche,Fairy Cloche — Event Design & Decor | Eclectic Hive,Fairy Cloche,false,Quantity: 14,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/Kelden-Black-Iron-Lantern;https://www.eclectichive.com/accents1/faro-pedestal-votive-collection,,false,markdown,0.85,,prev_next_unparsed,,false
6d09e938-46ff-4def-9787-49b2a202b9f0,https://www.eclectichive.com/accents1/faro-pedestal-votive-collection,accents1,faro-pedestal-votive-collection,Faro Pedestal Votive Collection,Faro Pedestal Votive Collection — Event Design & Decor | Eclectic Hive,Faro Pedestal Votive Collection,false,,,,,,,,true,,,,,https://www.eclectichive.com/accents1/fairy-cloche;https://www.eclectichive.com/accents1/edith-wood-candlestick-collection,,false,markdown,0.85,,prev_next_unparsed,,false
91bf658f-2fc2-4f79-9a1f-fec2b966f05e,https://www.eclectichive.com/accents1/Farren-European-Wood-Paddle,accents1,Farren-European-Wood-Paddle,Farren European Wood Paddle,Farren European Wood Paddle — Event Design & Decor | Eclectic Hive,Farren European Wood Paddle,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/Hesse-Galvanized-Tray;https://www.eclectichive.com/accents1/green-glass-bottles,,false,markdown,0.85,,prev_next_unparsed,,false
acd2702f-dfb5-46fc-b493-a26e491f5ffd,https://www.eclectichive.com/accents1/faux-potted-aloe,accents1,faux-potted-aloe,Faux Potted Aloe,Faux Potted Aloe — Event Design & Decor | Eclectic Hive,Faux Potted Aloe,false,Stocked Quantity: 4,,4,,,,,true,true,,,,https://www.eclectichive.com/accents1/faux-potted-cactus;https://www.eclectichive.com/accents1/faux-potted-succulent,,false,markdown,0.9,,prev_next_unparsed,,false
0af9f114-018b-460d-9681-7306fa10cbf6,https://www.eclectichive.com/accents1/faux-potted-cactus,accents1,faux-potted-cactus,Faux Potted Cactus,Faux Potted Cactus — Event Design & Decor | Eclectic Hive,Faux Potted Cactus,false,Stocked Quantity: 2,,2,,,,,true,true,,,,https://www.eclectichive.com/accents1/cornhole-set;https://www.eclectichive.com/accents1/faux-potted-aloe,,false,markdown,0.9,,prev_next_unparsed,,false
5672bdd4-7964-4226-88b3-ff0d91dc230b,https://www.eclectichive.com/accents1/faux-potted-succulent,accents1,faux-potted-succulent,Faux Potted Succulent,Faux Potted Succulent — Event Design & Decor | Eclectic Hive,Faux Potted Succulent,false,Stocked Quantity: 20,,20,,,,,true,true,,,,https://www.eclectichive.com/accents1/faux-potted-aloe;https://www.eclectichive.com/accents1/wilson-chopped-wood-holder,,false,markdown,0.9,,prev_next_unparsed,,false
1d703c93-301a-4a80-a1d5-acde625e0bed,https://www.eclectichive.com/accents1/Found-Creamery-Crate,accents1,Found-Creamery-Crate,Found Creamery Crate,Found Creamery Crate — Event Design & Decor | Eclectic Hive,Found Creamery Crate,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/benjamin-tan-vintage-suitcase;https://www.eclectichive.com/accents1/Hesse-Galvanized-Tray,,false,markdown,0.85,,prev_next_unparsed,,false
2a05924c-64ae-47ad-ae54-41d926cbe737,https://www.eclectichive.com/accents1/Gold-Antler,accents1,Gold-Antler,Gold Antler,Gold Antler — Event Design & Decor | Eclectic Hive,Gold Antler,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/Potted-Aspen-Branches;https://www.eclectichive.com/accents1/Silver-Antler,,false,markdown,0.85,,prev_next_unparsed,,false
7e4cfd3b-76a8-4fc2-ae6f-ad79b7b86b98,https://www.eclectichive.com/accents1/Gold-Metal-Sphere,accents1,Gold-Metal-Sphere,Gold Metal Sphere,Gold Metal Sphere — Event Design & Decor | Eclectic Hive,Gold Metal Sphere,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/small-gold-geo-terrarium;https://www.eclectichive.com/accents1/single-broadway-concrete-urn-column,,false,markdown,0.85,,prev_next_unparsed,,false
6c2dec9b-abb7-4a1b-99f2-6b425f512fd9,https://www.eclectichive.com/accents1/Grapevine-Root,accents1,Grapevine-Root,Grapevine Root,Grapevine Root — Event Design & Decor | Eclectic Hive,Grapevine Root,false,,,,,,,,true,true,,,,https://www.eclectichive.com/accents1/zuni-painted-pottery-collection;https://www.eclectichive.com/accents1/Potted-Aspen-Branches,,false,markdown,0.85,,prev_next_unparsed,,false
baa26be6-939b-420f-9892-1ca354b99985,https://www.eclectichive.com/accents1/green-glass-bottles,accents1,green-glass-bottles,Green Glass Bottles,Green Glass Bottles — Event Design & Decor | Eclectic Hive,Green Glass Bottles,false,"Stocked Quantity: 14  5""DIA x 8""H",,14,,,,,true,true,,,,https://www.eclectichive.com/accents1/Farren-European-Wood-Paddle;https://www.eclectichive.com/accents1/Vintage-Milk-Jug,,false,markdown,0.9,,prev_next_unparsed,,false
